video_path,relative_path,category,binary_label,binary_class,ethnicity,gender,identity,filename,split
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id01051\00322.mp4,RealVideo-RealAudio\Caucasian (European)\men\id01051\00322.mp4,RealVideo-RealAudio,0,real,Caucasian (European),men,id01051,00322.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id00363\00014.mp4,RealVideo-RealAudio\Asian (East)\women\id00363\00014.mp4,RealVideo-RealAudio,0,real,Asian (East),women,id00363,00014.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (East)\women\id05631\00073_fake.mp4,RealVideo-FakeAudio\Asian (East)\women\id05631\00073_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (East),women,id05631,00073_fake.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00806\00005.mp4,RealVideo-RealAudio\Caucasian (European)\women\id00806\00005.mp4,RealVideo-RealAudio,0,real,Caucasian (European),women,id00806,00005.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id04537\00083_id00860_RGYyzn7hiCo_id00773_wavtolip.mp4,FakeVideo-FakeAudio\Asian (South)\men\id04537\00083_id00860_RGYyzn7hiCo_id00773_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (South),men,id04537,00083_id00860_RGYyzn7hiCo_id00773_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\women\id00462\00143_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\women\id00462\00143_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),women,id00462,00143_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00694\00340_id00519_riI0J9g9OG4.mp4,FakeVideo-RealAudio\Caucasian (European)\men\id00694\00340_id00519_riI0J9g9OG4.mp4,FakeVideo-RealAudio,1,fake,Caucasian (European),men,id00694,00340_id00519_riI0J9g9OG4.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id00829\00271_id00832_wavtolip.mp4,FakeVideo-RealAudio\African\women\id00829\00271_id00832_wavtolip.mp4,FakeVideo-RealAudio,1,fake,African,women,id00829,00271_id00832_wavtolip.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_9_id01528_wavtolip.mp4,FakeVideo-FakeAudio\African\men\id00076\00109_9_id01528_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,African,men,id00076,00109_9_id01528_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01126\00040_id00241_DlI4wqSFwbI.mp4,FakeVideo-RealAudio\Caucasian (European)\men\id01126\00040_id00241_DlI4wqSFwbI.mp4,FakeVideo-RealAudio,1,fake,Caucasian (European),men,id01126,00040_id00241_DlI4wqSFwbI.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id01783\00015_id02808_wavtolip.mp4,FakeVideo-RealAudio\African\women\id01783\00015_id02808_wavtolip.mp4,FakeVideo-RealAudio,1,fake,African,women,id01783,00015_id02808_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00100\00028_id00097_PchMB8-P1lw.mp4,FakeVideo-RealAudio\Caucasian (American)\women\id00100\00028_id00097_PchMB8-P1lw.mp4,FakeVideo-RealAudio,1,fake,Caucasian (American),women,id00100,00028_id00097_PchMB8-P1lw.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01392\00167_id01170_7eoTTk4xyNo.mp4,FakeVideo-RealAudio\African\men\id01392\00167_id01170_7eoTTk4xyNo.mp4,FakeVideo-RealAudio,1,fake,African,men,id01392,00167_id01170_7eoTTk4xyNo.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (East)\women\id00579\00030_fake.mp4,RealVideo-FakeAudio\Asian (East)\women\id00579\00030_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (East),women,id00579,00030_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id00137\00025_id02587_wavtolip.mp4,FakeVideo-FakeAudio\Asian (East)\women\id00137\00025_id02587_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (East),women,id00137,00025_id02587_wavtolip.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\men\id05743\00015.mp4,RealVideo-RealAudio\Asian (East)\men\id05743\00015.mp4,RealVideo-RealAudio,0,real,Asian (East),men,id05743,00015.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\women\id00180\00206_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\women\id00180\00206_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),women,id00180,00206_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (European)\women\id00234\00063_fake.mp4,RealVideo-FakeAudio\Caucasian (European)\women\id00234\00063_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (European),women,id00234,00063_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id00305\00113_0_1_id00415_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (European)\men\id00305\00113_0_1_id00415_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (European),men,id00305,00113_0_1_id00415_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id00264\00257_id00021_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (American)\men\id00264\00257_id00021_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (American),men,id00264,00257_id00021_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01779\00010.mp4,RealVideo-RealAudio\African\men\id01779\00010.mp4,RealVideo-RealAudio,0,real,African,men,id01779,00010.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id02824\00130_id00832_Jr4-dXRChME_id04939_wavtolip.mp4,FakeVideo-FakeAudio\African\women\id02824\00130_id00832_Jr4-dXRChME_id04939_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,African,women,id02824,00130_id00832_Jr4-dXRChME_id04939_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\women\id02808\00056_id00568_gakhcJXnJZ8.mp4,FakeVideo-RealAudio\African\women\id02808\00056_id00568_gakhcJXnJZ8.mp4,FakeVideo-RealAudio,1,fake,African,women,id02808,00056_id00568_gakhcJXnJZ8.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (South)\men\id07179\00206.mp4,RealVideo-RealAudio\Asian (South)\men\id07179\00206.mp4,RealVideo-RealAudio,0,real,Asian (South),men,id07179,00206.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id06427\00138_id03940_axeR0CLu96U_faceswap.mp4,FakeVideo-RealAudio\Asian (East)\women\id06427\00138_id03940_axeR0CLu96U_faceswap.mp4,FakeVideo-RealAudio,1,fake,Asian (East),women,id06427,00138_id03940_axeR0CLu96U_faceswap.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id00708\00043_id00708_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (American)\men\id00708\00043_id00708_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (American),men,id00708,00043_id00708_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id00535\00005_id00063_cVZBXC2rjPM.mp4,FakeVideo-RealAudio\Caucasian (European)\men\id00535\00005_id00063_cVZBXC2rjPM.mp4,FakeVideo-RealAudio,1,fake,Caucasian (European),men,id00535,00005_id00063_cVZBXC2rjPM.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\women\id04564\00417_id05931_bFqu86NV3hk_id06343_wavtolip.mp4,FakeVideo-FakeAudio\Asian (South)\women\id04564\00417_id05931_bFqu86NV3hk_id06343_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (South),women,id04564,00417_id05931_bFqu86NV3hk_id06343_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01163\00195.mp4,RealVideo-RealAudio\Caucasian (American)\men\id01163\00195.mp4,RealVideo-RealAudio,0,real,Caucasian (American),men,id01163,00195.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id01098\00044.mp4,RealVideo-RealAudio\Caucasian (European)\men\id01098\00044.mp4,RealVideo-RealAudio,0,real,Caucasian (European),men,id01098,00044.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00897\00005_id01002_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (European)\women\id00897\00005_id01002_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (European),women,id00897,00005_id01002_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (South)\men\id07210\00005_fake.mp4,RealVideo-FakeAudio\Asian (South)\men\id07210\00005_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (South),men,id07210,00005_fake.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\women\id05931\00013_id01026_rM4ZERt7oM0_faceswap_id05931_wavtolip.mp4,FakeVideo-FakeAudio\Asian (South)\women\id05931\00013_id01026_rM4ZERt7oM0_faceswap_id05931_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (South),women,id05931,00013_id01026_rM4ZERt7oM0_faceswap_id05931_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\women\id00137\00025_id07799_wavtolip.mp4,FakeVideo-RealAudio\Asian (East)\women\id00137\00025_id07799_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Asian (East),women,id00137,00025_id07799_wavtolip.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id06462\00014.mp4,RealVideo-RealAudio\Asian (East)\women\id06462\00014.mp4,RealVideo-RealAudio,0,real,Asian (East),women,id06462,00014.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\women\id01004\00028_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\women\id01004\00028_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),women,id01004,00028_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\men\id08299\00110.mp4,RealVideo-RealAudio\Asian (East)\men\id08299\00110.mp4,RealVideo-RealAudio,0,real,Asian (East),men,id08299,00110.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (European)\men\id00185\00015_fake.mp4,RealVideo-FakeAudio\Caucasian (European)\men\id00185\00015_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (European),men,id00185,00015_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id07901\00040_id00582_wavtolip.mp4,FakeVideo-FakeAudio\Asian (East)\women\id07901\00040_id00582_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (East),women,id07901,00040_id00582_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\women\id01217\00005_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\women\id01217\00005_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),women,id01217,00005_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id03816\00093_id03651_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (European)\women\id03816\00093_id03651_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (European),women,id03816,00093_id03651_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id06061\00002.mp4,RealVideo-RealAudio\Asian (East)\women\id06061\00002.mp4,RealVideo-RealAudio,0,real,Asian (East),women,id06061,00002.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (South)\women\id05845\00027_fake.mp4,RealVideo-FakeAudio\Asian (South)\women\id05845\00027_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (South),women,id05845,00027_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id01124\00063.mp4,RealVideo-RealAudio\Caucasian (American)\men\id01124\00063.mp4,RealVideo-RealAudio,0,real,Caucasian (American),men,id01124,00063.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00519\00028.mp4,RealVideo-RealAudio\Caucasian (European)\men\id00519\00028.mp4,RealVideo-RealAudio,0,real,Caucasian (European),men,id00519,00028.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\men\id01098\00044_id00292_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (European)\men\id01098\00044_id00292_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (European),men,id01098,00044_id00292_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00187\00360.mp4,RealVideo-RealAudio\Caucasian (European)\men\id00187\00360.mp4,RealVideo-RealAudio,0,real,Caucasian (European),men,id00187,00360.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id00460\00005_id04437_2csrqaF55pk_id02808_wavtolip.mp4,FakeVideo-FakeAudio\African\women\id00460\00005_id04437_2csrqaF55pk_id02808_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,African,women,id00460,00005_id04437_2csrqaF55pk_id02808_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\men\id01124\00063_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\men\id01124\00063_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),men,id01124,00063_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\African\women\id00220\00027_fake.mp4,RealVideo-FakeAudio\African\women\id00220\00027_fake.mp4,RealVideo-FakeAudio,1,fake,African,women,id00220,00027_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id08313\00202_id03945_wavtolip.mp4,FakeVideo-FakeAudio\Asian (South)\men\id08313\00202_id03945_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (South),men,id08313,00202_id03945_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (European)\men\id00981\00092_fake.mp4,RealVideo-FakeAudio\Caucasian (European)\men\id00981\00092_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (European),men,id00981,00092_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (East)\women\id08819\00052_fake.mp4,RealVideo-FakeAudio\Asian (East)\women\id08819\00052_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (East),women,id08819,00052_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id04884\00028_id01215_wavtolip.mp4,FakeVideo-RealAudio\Asian (East)\men\id04884\00028_id01215_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Asian (East),men,id04884,00028_id01215_wavtolip.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00271\00028_id00806_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (European)\women\id00271\00028_id00806_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (European),women,id00271,00028_id00806_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id00566\00032.mp4,RealVideo-RealAudio\Asian (East)\women\id00566\00032.mp4,RealVideo-RealAudio,0,real,Asian (East),women,id00566,00032.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\women\id00680\00110_id00385_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (American)\women\id00680\00110_id00385_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (American),women,id00680,00110_id00385_wavtolip.mp4,validation
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (East)\women\id00763\00074_id00763_wavtolip.mp4,FakeVideo-FakeAudio\Asian (East)\women\id00763\00074_id00763_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (East),women,id00763,00074_id00763_wavtolip.mp4,train
